�AccErrorX: 0.27
AccErrorY: -0.52
GyroErrorX: -4.01
GyroErrorY: -0.16
GyroErrorZ: -0.33
-1.88,-1.17,0.29
,-1.90,-1.19,0.29
,-1.89,-1.19,0.29
,-1.92,-1.19,0.29
,-1.95,-1.21,0.30
,-1.97,-1.24,0.30
,-2.01,-1.26,0.31
,-2.04,-1.27,0.31
,-2.07,-1.29,0.32
,-2.11,-1.33,0.32
,-2.15,-1.35,0.33
,-2.18,-1.36,0.33
,-2.22,-1.38,0.34
,-2.25,-1.41,0.35
,-2.27,-1.42,0.35
,-2.30,-1.44,0.36
,-2.33,-1.45,0.36
,-2.36,-1.47,0.36
,-2.40,-1.50,0.37
,-2.44,-1.52,0.38
,-2.46,-1.55,0.38
,-2.51,-1.58,0.39
,-2.53,-1.58,0.39
,-2.57,-1.61,0.39
,-2.59,-1.62,0.40
,-2.61,-1.65,0.41
,-2.67,-1.65,0.41
,-2.69,-1.69,0.41
,-2.73,-1.70,0.42
,-2.75,-1.71,0.42
,-2.78,-1.74,0.42
,-2.82,-1.76,0.43
,-2.85,-1.78,0.43
,-2.88,-1.81,0.44
,-2.93,-1.83,0.44
,-2.96,-1.85,0.45
,-2.99,-1.86,0.45
,-3.01,-1.87,0.46
,-3.05,-1.92,0.46
,-3.08,-1.94,0.47
,-3.11,-1.95,0.47
,-3.16,-1.97,0.47
,-3.19,-1.99,0.48
,-3.22,-2.00,0.49
,-3.25,-2.02,0.49
,-3.29,-2.05,0.50
,-3.31,-2.07,0.50
,-3.34,-2.08,0.50
,-3.40,-2.10,0.51
,-3.43,-2.13,0.52
,-3.44,-2.16,0.52
,-3.48,-2.16,0.53
,-3.51,-2.19,0.53
,-3.55,-2.22,0.54
,-3.59,-2.25,0.54
,-3.61,-2.27,0.55
,-3.64,-2.27,0.55
,-3.67,-2.29,0.56
,-3.72,-2.31,0.56
,-3.75,-2.34,0.56
,-3.78,-2.34,0.57
,-3.82,-2.39,0.57
,-3.85,-2.39,0.58
,-3.89,-2.40,0.58
,-3.92,-2.44,0.59
,-3.94,-2.45,0.59
,-3.98,-2.48,0.60
,-4.01,-2.51,0.60
,-4.05,-2.53,0.61
,-4.09,-2.55,0.61
,-4.10,-2.58,0.62
,-4.14,-2.58,0.62
,-4.17,-2.60,0.63
,-4.21,-2.62,0.63
,-4.26,-2.65,0.64
,-4.28,-2.66,0.64
,-4.30,-2.69,0.65
,-4.34,-2.71,0.65
,-4.37,-2.73,0.66
,-4.40,-2.77,0.66
,-4.43,-2.78,0.67
,-4.48,-2.81,0.67
,-4.51,-2.81,0.68
,-4.53,-2.83,0.68
,-4.56,-2.86,0.69
,-4.60,-2.88,0.69
,-4.64,-2.90,0.70
,-4.67,-2.90,0.70
,-4.70,-2.93,0.71
,-4.73,-2.96,0.71
,-4.76,-2.98,0.71
,-4.79,-3.00,0.72
,-4.81,-3.04,0.72
,-4.86,-3.05,0.73
,-4.88,-3.06,0.73
,-4.92,-3.09,0.74
,-4.97,-3.10,0.74
,-4.99,-3.13,0.75
,-5.03,-3.15,0.75
,-5.05,-3.17,0.76
,-5.08,-3.18,0.76
,-5.12,-3.22,0.77
,-5.17,-3.24,0.77
,-5.18,-3.25,0.78
,-5.21,-3.27,0.78
,-5.25,-3.29,0.79
,-5.29,-3.31,0.79
,-5.30,-3.33,0.80
,-5.34,-3.35,0.80
,-5.38,-3.36,0.80
,-5.41,-3.41,0.81
,-5.45,-3.41,0.81
,-5.48,-3.43,0.82
,-5.50,-3.46,0.82
,-5.56,-3.48,0.83
,-5.56,-3.49,0.83
,-5.61,-3.52,0.84
,-5.64,-3.52,0.84
,-5.68,-3.55,0.85
,-5.68,-3.55,0.85
,-5.69,-3.57,0.85
,-5.74,-3.60,0.86
,-5.77,-3.61,0.86
,-5.80,-3.63,0.87
,-5.83,-3.67,0.87
,-5.86,-3.68,0.88
,-5.91,-3.70,0.88
,-5.93,-3.73,0.88
,-5.97,-3.74,0.89
,-6.00,-3.76,0.89
,-6.03,-3.77,0.90
,-6.06,-3.79,0.90
,-6.12,-3.83,0.91
,-6.13,-3.85,0.92
,-6.15,-3.87,0.92
,-6.19,-3.88,0.93
,-6.23,-3.91,0.93
,-6.27,-3.92,0.94
,-6.30,-3.94,0.94
,-6.32,-3.96,0.95
,-6.35,-3.99,0.95
,-6.39,-4.02,0.96
,-6.44,-4.02,0.96
,-6.46,-4.05,0.97
,-6.51,-4.06,0.97
,-6.53,-4.10,0.98
,-6.57,-4.11,0.98
,-6.61,-4.14,0.99
,-6.61,-4.15,0.99
,-6.66,-4.18,1.00
,-6.68,-4.19,1.00
,-6.72,-4.20,1.01
,-6.75,-4.24,1.01
,-6.79,-4.26,1.02
,-6.84,-4.28,1.02
,-6.86,-4.29,1.03
,-6.88,-4.32,1.03
,-6.93,-4.34,1.04
,-6.95,-4.36,1.04
,-6.99,-4.38,1.05
,-7.02,-4.40,1.05
,-7.05,-4.43,1.05
,-7.10,-4.44,1.06
,-7.11,-4.46,1.06
,-7.16,-4.47,1.07
,-7.19,-4.51,1.07
,-7.21,-4.51,1.08
,-7.24,-4.54,1.08
,-7.29,-4.56,1.09
,-7.32,-4.59,1.09
,-7.34,-4.61,1.10
,-7.39,-4.62,1.10
,-7.43,-4.63,1.11
,-7.46,-4.66,1.11
,-7.48,-4.68,1.12
,-7.52,-4.70,1.12
,-7.56,-4.73,1.13
,-7.59,-4.74,1.13
,-7.60,-4.78,1.14
,-7.64,-4.79,1.14
,-7.67,-4.81,1.14
,-7.71,-4.85,1.15
,-7.76,-4.84,1.16
,-7.80,-4.86,1.16
,-7.81,-4.90,1.16
,-7.85,-4.92,1.17
,-7.87,-4.93,1.18
,-7.92,-4.95,1.18
,-7.94,-4.97,1.19
,-7.98,-5.00,1.19
,-8.02,-5.02,1.19
,-8.04,-5.03,1.20
,-8.08,-5.07,1.20
,-8.10,-5.08,1.21
,-8.14,-5.08,1.21
,-8.18,-5.11,1.22
,-8.20,-5.14,1.22
,-8.23,-5.17,1.23
,-8.27,-5.18,1.23
,-8.30,-5.20,1.24
,-8.34,-5.23,1.24
,-8.38,-5.25,1.25
,-8.41,-5.26,1.26
,-8.44,-5.28,1.26
,-8.46,-5.29,1.27
,-8.48,-5.32,1.27
,-8.52,-5.35,1.28
,-8.57,-5.35,1.28
,-8.59,-5.37,1.29
,-8.63,-5.40,1.29
,-8.67,-5.43,1.30
,-8.70,-5.44,1.30
,-8.73,-5.46,1.30
,-8.76,-5.47,1.31
,-8.79,-5.50,1.32
,-8.83,-5.52,1.32
,-8.87,-5.54,1.32
,-8.89,-5.55,1.33
,-8.93,-5.58,1.33
,-8.96,-5.60,1.34
,-8.98,-5.63,1.34
,-9.03,-5.64,1.35
,-9.04,-5.66,1.36
,-9.09,-5.69,1.36
,-9.13,-5.70,1.37
,-9.14,-5.72,1.37
,-9.20,-5.74,1.38
,-9.21,-5.77,1.38
,-9.25,-5.78,1.38
