#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B0DF82
#Date Time: 2022-10-27 12:10:21.297
#Start: 5 Hz
#Stop: 10000 Hz
#Steps: 101
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.47342 V
#Offset: 0.000108034 V
#Relative: no
#Channel: Channel 2
#Range: 5.42549 V
#Offset: 0.000198727 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (V),Channel 2 Magnitude (V)
5.000000000000004,1.480028738219391e-05,10.05247921988487
5.394861557009643,1.264977203983755e-05,4.120657198942675
5.820906243860088,1.866807281268197e-05,6.512647744372637
6.280596664391632,1.286538671743836e-05,3.415338770858191
6.776589899961876,2.228017429937571e-06,24.67955015905402
7.311752867784822,6.314854621127678e-06,7.919723819120961
7.889178892153454,4.166462236451083e-06,1.184488417395943
8.512205584330108,1.505309935730262e-05,5.412700573741285
9.184434134453042,3.434881455575997e-05,2.023221464876571
9.909750126969561,6.388042959554969e-06,2.548465754252585
10.69234599991189,9.493915553198671e-06,9.576210368594486
11.53674527783408,3.364328569635506e-05,2.180048537081871
12.44782871847991,3.145683082662774e-05,3.874203807856665
13.43086252431356,5.308897107735554e-06,10.85089680963366
14.49152878198011,2.991262738474131e-05,3.124596978372493
15.63595830564064,3.569064340211221e-05,1.942722078634443
16.87076607402124,3.900599163467083e-05,1.929574366146291
18.20308946600793,3.016463656578108e-05,2.802796036693971
19.64062951579463,2.068736992945999e-05,2.719357951880339
21.19169542604583,1.535157131356293e-05,6.120531965478389
22.86525259636632,2.026456142870212e-05,5.337729440348967
24.6709744446903,3.594522273430738e-05,3.781666991492322
26.61929832112537,2.738529175525988e-05,4.243672100265214
28.72148583744206,1.694519222890168e-05,6.396541556809473
30.98968796092259,1.512875806604435e-05,5.955972651907671
33.43701524882113,3.097264939799938e-05,3.587288590934466
36.07761362940199,3.857573574121414e-05,2.489440297197772
38.92674616758156,3.692614924717743e-05,2.527732869689434
42.00088128779159,1.273719556168133e-05,7.060172331801557
45.31778796400646,1.299924793393387e-05,7.111065163746215
48.89663842714646,2.084913058686997e-05,5.17874844185615
52.75811898352251,1.680229369587547e-05,4.986226964465051
56.9245495848692,1.486832384339728e-05,6.001555222544309
61.42001284109995,6.475850427804154e-06,11.11215724527011
66.27049322149762,1.048317927136772e-05,8.024289457814087
71.50402724894498,8.46840235548291e-06,10.58802069539078
77.15086555534056,7.383513739636696e-06,7.884168000586985
83.24364773490517,3.261761143435405e-05,2.70435242324431
89.81759100605836,1.453936354305463e-05,5.856487705929928
96.91069377235976,6.822362449932785e-06,11.99169358200994
104.5639552591274,1.240927580288763e-05,6.456069765015656
112.8216124952683,1.941703710449239e-05,3.378160203214434
121.7313960101122,1.952502419165395e-05,2.286657269629801
131.3448057232141,5.557951071957787e-06,14.35668209775222
141.7174086218134,2.524802619479252e-06,23.45336955328366
152.9091599465694,1.246358669152507e-05,8.758223097826825
164.984749742077,5.867578780413078e-06,19.66502328525722
178.0139767752773,1.860448123487739e-05,2.093065724479066
192.0721519830699,1.539306329380204e-05,4.012885680179842
207.2405337811153,1.646728647280724e-05,4.660249440748126
223.6067977499791,2.543911006717097e-05,2.363970305840042
241.2655434134781,8.820831182867898e-06,7.333884218165273
260.3188410384826,1.750898919473417e-05,2.191617780435013
280.8768216167624,1.352185230362207e-05,6.278727554005051
303.0583134390649,1.105320270114986e-05,4.149552926118793
326.9915289409175,2.218663509965761e-05,3.802828937783667
352.8148057902321,1.383775288361416e-05,8.374022405235701
380.6774065003085,3.882613583158912e-06,22.59144057961727
410.7403811901287,2.637506557578403e-05,2.364355273819185
443.177498478822,8.464451551785594e-07,92.73767064916011
478.1762498950186,1.127653024036985e-05,5.978122348652764
515.9389336067339,1.333787575767756e-05,3.610334688160787
556.683823735903,3.568175315120212e-05,2.709730172746524
600.6464320163901,3.814628193727733e-05,1.634840880318303
648.0808690880452,2.39809918551696e-05,1.459800542165546
699.2613132952977,2.533787033500767e-05,0.8702205656008012
754.4835954801747,1.454729037892924e-05,5.352542923719218
814.0669089300806,1.976867081793706e-05,3.424466065533148
878.3556543641115,3.79708528549274e-05,0.6392652443989224
947.7214306221969,2.506436153857992e-05,2.714172629838675
1022.565182563573,1.968255965555525e-05,3.890026768126782
1103.319518589752,1.592717853225982e-05,4.60427472305697
1190.451211187646,7.119269900507824e-06,5.849585471020631
1284.463894946358,1.893536197875182e-05,4.804155827671485
1385.900977642595,1.966730178333358e-05,2.324786769842513
1495.348781221221,9.639506428067359e-06,5.74707208183256
1613.439930826316,3.561432637392339e-05,2.2973800655287
1740.857011471835,2.252861934139017e-05,3.628164803856519
1878.336513488017,3.69871395413725e-05,2.610717999017806
2026.673089548803,4.83285341961507e-05,2.584429623934578
2186.724147886557,9.404903418893043e-06,8.830871997387643
2359.414808243569,2.676442503162158e-05,2.929970437575807
2545.743249206496,2.482334337964086e-05,4.455576313314415
2746.786477832185,1.18181156826926e-05,6.822531281926888
2963.706554914151,2.512431484234042e-05,1.495486741188652
3197.757311872764,2.185193837057387e-05,4.630142593816021
3450.29159809377,1.038902296040355e-05,11.22520340806965
3722.769100605884,2.928077000678772e-05,5.951651792133033
4016.764781296405,2.442606209849033e-05,4.262991340613548
4333.977980433238,2.714728314993524e-05,4.404539316271421
4676.242239113109,1.144828714238818e-05,9.275211708159709
5045.535897411194,2.921615417306976e-05,6.385236160182585
5443.993529491152,2.022366319420779e-05,4.904904111743628
5873.918281772205,7.709960960319717e-06,20.68400609248596
6337.795185469787,4.47528696808007e-05,3.148402870661058
6838.305520458342,2.83416588134532e-05,2.153104061233681
7378.342313481497,4.192990928675646e-05,2.330584972591123
7961.027060291774,5.539945716079064e-05,2.463221831955504
8589.727768376304,5.287966309682044e-06,43.09088274070763
9268.0784245583,6.393557729786333e-05,3.098624937950986
10000,5.000460230347123e-05,2.993689324335165
